"dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
NA,13580,"Kora Kora",-0.6097,39.7807,"UNKNOWN","Kenya","KEN","Africa",5,1994,5,1994,0,6,270,36,0.133333333333333,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA," (1994). <i>Vitamin A deficiency in Kenya: A report of the national micronutrients survey, 1994.</i> . Nairobi. UNICEF. 1-89",NA,NA
NA,8231,"Ulutya Primary School",-0.97235,37.69024,"RURAL","Kenya","KEN","Africa",10,2009,10,2009,5,17,109,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,TRUE,TRUE,NA,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.",NA,NA
NA,22331,"Cluster 12",-3.8442,39.7527,"UNKNOWN","Kenya","KEN","Africa",5,2009,5,2009,0.6,8,11,2,0.181818181818182,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,", Kilifi. (2009) personal communication.",NA,NA
NA,16507,"Langata Road Primary School",-1.31493,36.8112,"URBAN","Kenya","KEN","Africa",7,2009,7,2009,4,15,93,2,0.021505376344086,"P. falciparum","RDT","Unknown",NA,TRUE,TRUE,NA,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.",NA,NA
NA,4231,"Rarieda Primary School",-0.19526,34.33977,"RURAL","Kenya","KEN","Africa",11,2009,11,2009,5,17,110,48,0.436363636363636,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,TRUE,TRUE,NA,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.",NA,NA
NA,16953,"Kilifi Township",-3.61542,39.84477,"URBAN","Kenya","KEN","Africa",3,1995,3,1995,0,4,168,107,0.636904761904762,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Marsh, K., . (1995) personal communication.",NA,NA
NA,13674,"Komolo",0.0892,34.279,"RURAL","Kenya","KEN","Africa",7,1995,7,1995,0,9,133,111,0.834586466165414,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4",NA,NA
NA,13602,"Emensa sub-location",-0.9119,34.8047,"UNKNOWN","Kenya","KEN","Africa",5,2000,5,2000,0,14,72,4,0.0555555555555556,"P. falciparum","RDT","ICT Malaria Dual Test ML03",NA,TRUE,TRUE,NA,"Zurovac, D., . (2000) personal communication.",NA,NA
NA,12652,"Mwangoni Primary School",-4.0742,39.18348,"UNKNOWN","Kenya","KEN","Africa",9,2008,9,2008,5,15,110,4,0.0363636363636364,"P. falciparum","RDT","OptiMal-IT",NA,TRUE,TRUE,NA,"Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",NA,NA
NA,480,"Shariani",-3.7897,39.8211,"UNKNOWN","Kenya","KEN","Africa",5,1998,5,1998,6,12,100,54,0.54,"P. falciparum","Microscopy",NA,NA,TRUE,TRUE,NA,"Mbogo, C.M., Mwangangi, J.M., Nzovu, J., Gu, W., Yan, G., Gunter, J.T., Swalm, C., Keating, J., Regens, J.L., Shililu, J.I., Githure, J.I. and Beier, J.C. (2003).  <b>Spatial and temporal heterogeneity of <i>Anopheles</i> mosquitoes and <i>Plasmodium falciparum</i> transmission along the Kenyan coast.</b> <i>American Journal of Tropical Medicine and Hygiene</i>, <b>68</b>(6):734-42",NA,NA
